Name,Vflat_km_s,RHI_kpc,Rad_core_kpc,C_core_km_s,k_eff
DDO064,46.1,3.49,0.1,6.29,0.0051132496
DDO161,66.3,10.69,0.6,16.0,0.0026345036
ESO079-G014,175.0,17.67,0.41,33.2,0.003754783
ESO116-G012,109.1,9.58,0.25,20.9,0.004006849
ESO563-G021,314.6,55.71,0.45,18.9,0.0050384314
F563-1,109.9,23.47,1.07,22.1,0.0025077206
F563-V2,116.6,11.37,0.28,11.9,0.005209295
F568-V1,112.3,14.38,0.39,17.4,0.0036894344
F571-8,139.7,24.55,0.22,12.4,0.004160964
F574-1,97.8,16.19,0.47,15.3,0.003229266
F579-V1,112.1,20.96,0.42,35.7,0.0021296586
F583-1,85.8,15.65,0.26,14.6,0.0029497677
IC4202,242.6,32.13,0.77,35.1,0.0037541876
NGC0024,106.3,7.29,0.21,17.4,0.0049048867
NGC0100,88.1,16.36,0.23,6.81,0.0043375534
NGC0801,220.1,44.99,1.17,123.0,0.0015376008
NGC0891,216.1,18.16,0.92,234.0,0.001722753
NGC1003,109.8,33.33,1.25,47.0,0.0014416832
NGC1090,164.4,30.49,0.35,20.9,0.0033844186
NGC2403,131.2,15.11,0.16,24.5,0.003543665
NGC2841,284.8,45.12,3.44,285.0,0.0013051701
NGC2903,184.6,13.76,0.32,44.0,0.0038987936
NGC2998,209.9,43.58,0.33,90.0,0.0017417333
NGC3109,66.2,6.0,0.26,6.1,0.0056865853
NGC3198,150.1,35.66,0.32,24.4,0.0026444127
NGC3521,213.7,18.85,0.51,143.0,0.0021390205
NGC3741,50.1,4.2,0.23,13.1,0.003510036
NGC3893,174.0,20.84,1.74,145.0,0.0016449416
NGC3917,135.9,14.08,0.87,24.3,0.0038181164
NGC3953,220.8,17.38,3.5,181.0,0.0020458277
NGC3972,132.7,10.05,0.87,39.6,0.0034568014
NGC3992,241.0,32.75,9.19,248.0,0.0013896956
NGC4088,171.7,22.25,1.74,84.9,0.002052984
NGC4100,158.2,18.06,2.61,120.0,0.0017660017
NGC4157,184.7,24.09,1.74,96.4,0.0019917926
NGC4183,110.6,16.07,0.87,47.1,0.002089156
NGC4217,181.3,16.7,0.87,47.8,0.0033347227
NGC4559,121.2,21.16,0.67,43.8,0.0020689112
NGC5005,262.2,10.41,0.49,211.0,0.0029073693
NGC5033,194.2,29.53,0.76,206.0,0.0012939515
NGC5055,179.0,35.06,0.72,125.0,0.0014051613
NGC5371,209.5,30.03,1.45,216.0,0.0013518037
NGC5585,90.3,10.92,0.09,11.2,0.0042432784
NGC5985,293.6,39.5,3.54,223.0,0.0016256955
NGC6195,251.7,40.89,1.33,175.0,0.0015462857
NGC6503,116.3,14.05,0.76,77.0,0.0018375125
NGC6674,241.3,50.02,2.5,206.0,0.0012353385
NGC6946,158.9,21.25,0.19,153.0,0.0014482143
NGC7331,239.0,27.01,2.67,221.0,0.0016075836
NGC7814,218.9,12.15,0.63,265.0,0.0020047897
UGC00128,129.3,31.27,1.25,34.1,0.0020577447
UGC00731,73.3,11.57,0.91,29.6,0.00205838
UGC01230,103.7,26.29,0.78,19.8,0.0023620275
UGC01281,55.2,5.26,0.08,1.41,0.010533453
UGC02487,332.0,40.2,9.93,377.0,0.0014014852
UGC02885,289.5,74.24,1.7,305.0,0.0009998016
UGC03205,219.6,28.6,0.28,107.0,0.0020629636
UGC03546,196.9,18.37,0.63,262.0,0.0014749408
UGC04278,91.4,8.9,0.14,5.23,0.006962007
UGC04325,90.9,6.61,0.7,41.3,0.002859053
UGC04499,72.8,8.67,0.91,26.0,0.0025198185
UGC05005,98.9,21.61,0.78,14.5,0.002903481
UGC05721,79.7,6.74,0.09,16.5,0.003927539
UGC06399,85.0,8.8,0.87,24.8,0.002990101
UGC06446,82.2,10.33,0.58,31.3,0.0023756563
UGC06614,199.8,60.63,3.23,194.0,0.00095738133
UGC06667,83.8,8.59,0.87,26.6,0.0028809833
UGC06786,219.4,20.31,0.16,160.0,0.0020001188
UGC06917,108.7,12.67,1.74,59.2,0.0020625975
UGC06930,107.2,16.76,1.74,54.7,0.0018399169
UGC06983,109.0,16.07,1.74,56.9,0.0018732535
UGC07125,65.2,23.04,1.44,26.1,0.0013817205
UGC07151,73.5,6.39,0.5,24.2,0.0030715906
UGC07399,103.0,7.85,0.61,47.3,0.0027778316
UGC07524,79.5,12.11,0.35,14.4,0.0031285845
UGC07603,61.6,4.37,0.34,19.6,0.0034589642
UGC08286,82.4,8.07,0.47,22.2,0.0031992493
UGC08490,78.6,7.8,0.34,38.8,0.0023479753
UGC08550,56.9,5.59,0.49,25.0,0.0025013268
UGC09133,226.8,60.35,0.32,284.0,0.00090028363
UGC10310,71.4,9.58,1.1,33.2,0.0020805614
UGC11455,269.4,43.44,0.62,35.1,0.003585364
UGC11914,288.1,9.26,0.28,168.0,0.0037959216
UGC12632,71.7,12.6,0.71,24.1,0.002138255
UGCA442,56.4,4.37,0.42,14.2,0.0037207317
